Code du département,Code de la circonscription,GAUCHE,MACRON,DROITE,RN,EXG,EXD
34,9,17463,14918,3027,21734,459,1481
35,1,355,21453,3372,11878,875,0
35,2,30432,25792,5218,13130,0,0
35,3,24649,19919,1688,0,802,0
35,4,22139,16595,6103,22275,868,0
35,5,0,33147,0,23298,1494,0
35,6,16340,27370,0,19960,0,0
35,7,16701,3665,32549,0,1015,0
35,8,36029,17517,3390,9820,654,0
36,1,0,17256,0,19755,756,716
36,2,13783,0,18700,24512,931,0
37,1,22940,11333,2774,8870,0,496
37,2,14891,0,4123,22396,938,688
37,3,17240,22174,0,21724,0,1003
37,4,18374,0,5287,20328,731,0
37,5,14457,16025,6805,21118,700,0
38,1,25207,21089,0,11504,541,0
38,2,0,10114,3064,16043,661,540
38,3,20462,7908,1103,8989,447,251
38,4,27548,7751,7219,20812,619,0
38,5,0,23152,0,23710,749,1411
38,6,12791,0,7816,29167,849,0
38,7,13427,6507,18678,0,630,0
38,8,14021,0,7923,22847,623,0
38,9,20658,19307,5468,0,765,397
38,10,0,14688,5318,28348,999,0
39,1,10352,16231,0,0,786,0
39,2,9303,0,14507,12315,386,694
39,3,0,0,16727,19354,796,0
40,1,20466,21357,3343,28138,852,700
40,2,24645,26051,4625,0,839,918
40,3,26235,12451,0,25165,513,813
41,1,8311,21578,3220,19074,1828,0
41,2,10027,0,13189,25615,966,1719
41,3,10795,0,0,22682,986,748
42,1,16778,9864,366,13296,473,0
42,2,14302,1033,7310,0,439,0
42,3,16008,0,0,22813,727,0
42,4,18700,0,0,28753,1368,0
42,5,13039,0,29832,25644,726,853
42,6,13952,9721,21724,31016,720,470
43,1,13694,6932,27013,25091,0,0
43,2,10898,4607,0,17885,795,0
44,1,23671,20488,0,9937,521,0
44,2,34341,17744,3893,9157,542,0
44,3,29285,16135,4143,13425,0,0
44,4,31212,14815,5450,13116,788,0
44,5,0,33241,0,22722,1261,0
44,6,26919,0,22993,25886,0,1671
44,7,19881,23489,11610,23210,1228,1595
44,8,26644,11991,2525,17065,0,0
44,9,26910,0,29952,29841,1134,1209
44,10,28002,27555,8889,0,893,1211
45,1,16706,20395,0,0,439,659
45,2,19751,13263,0,18957,388,716
45,3,9089,0,0,21373,648,792
45,4,9889,0,5537,23231,551,535
45,5,9524,10604,4817,0,429,651
45,6,15176,0,2239,16253,528,1259
46,1,12775,0,22180,12108,353,398
46,2,18338,0,0,14369,607,0
47,1,15479,17155,0,26034,700,0
47,2,0,11272,0,25283,929,0
47,3,16961,0,12876,0,521,0
48,1,15373,0,10451,0,284,0
49,1,20475,0,3736,13995,815,432
49,2,18621,21761,5864,15945,834,0
49,3,9656,8168,11572,18344,0,0
49,4,10629,18001,3455,18014,3,769
49,5,11220,17730,5362,0,821,1405
49,6,16707,23776,0,19422,1099,1243
49,7,16778,19541,0,15802,810,1465
50,1,11042,0,22684,19333,578,418
50,2,11529,26555,5739,21186,811,0
50,3,389,25232,0,25725,629,1787
50,4,19940,0,8637,17481,900,884
51,1,12835,0,17697,0,856,0
51,2,11861,14756,3425,17645,420,0
51,3,9397,15942,0,21890,769,1219
51,4,0,15245,3249,21045,690,0
51,5,0,21751,0,23954,502,0
52,1,9104,12529,0,21815,0,0
52,2,0,0,10407,21009,684,0
53,1,0,0,12424,14161,465,0
53,2,12135,18746,4877,16944,0,0
53,3,9176,23294,0,0,494,0
54,1,0,14435,3518,14719,741,664
54,2,18008,13869,2325,0,365,422
54,3,13068,8248,3599,19938,0,0
54,4,13009,0,20984,27618,0,719
54,5,22415,0,7220,0,792,5190
54,6,15612,8353,4700,24121,0,664
55,1,0,0,17449,23680,481,708
55,2,6133,0,11976,0,431,0
56,1,25782,35627,0,21454,432,0
56,2,0,26667,7472,24920,899,0
56,3,943,18222,8340,24584,688,719
56,4,11809,12487,0,25414,515,920
56,5,19612,0,0,15386,1067,0
56,6,15561,0,3513,22728,1213,835
57,1,14793,15640,0,22570,202,1027
57,2,13028,14795,0,0,461,0
57,3,13565,0,16631,0,842,0
57,4,0,4191,18659,22265,438,464
57,5,0,0,15045,20884,453,1001
57,6,7740,0,9094,18575,618,0
57,7,9913,9644,4403,28528,0,0
57,8,14724,7986,3296,23558,0,0
57,9,14607,22460,0,0,805,1181
58,1,9856,13593,0,18870,809,628
58,2,13788,10708,2757,23481,839,801
59,1,22720,7055,1951,7298,217,0
59,2,0,11630,4378,12256,853,0
59,3,23429,0,0,0,1697,876
59,4,20301,21494,7791,17832,539,533
59,5,16591,0,23510,27411,858,0
59,6,0,25831,4265,23781,687,0
59,7,15053,0,0,13163,617,763
59,8,17405,5766,0,0,652,1011
59,9,18869,20620,7404,12533,477,561
59,10,12065,17512,1565,0,535,249
59,11,22809,0,0,18650,1245,0
59,12,11992,0,12279,31567,0,932
59,13,10913,0,0,21662,1175,0
59,14,8876,0,23928,30194,1091,0
59,15,11853,0,22206,0,1078,0
59,16,14199,8135,0,0,1145,0
59,17,13575,5739,3627,0,751,0
59,18,7230,0,18434,0,930,0
59,19,0,7136,0,27592,1098,0
59,20,14791,5010,3087,0,679,0
59,1,0,0,14989,21337,726,580
60,1,10151,4062,13049,24621,348,339
60,2,2144,0,12339,30823,630,1225
60,3,14149,8556,1931,0,522,0
60,4,10644,20803,3942,25093,422,1052
60,5,10491,7232,8427,20070,0,888
60,6,9999,0,13973,0,648,857
60,7,13289,0,10519,19769,615,693
61,1,12264,15063,263,15783,0,1020
61,2,0,3060,14411,17502,470,911
61,3,9988,0,20701,15364,0,488
62,1,13594,9613,0,38755,680,0
62,2,11991,21141,2180,22239,409,697
62,3,15530,4427,1586,25200,0,546
62,4,8794,19244,5501,0,442,445
62,5,16095,0,2596,23974,1298,0
62,6,0,17052,4495,32553,703,0
62,7,9184,0,0,26995,701,492
62,8,18697,9824,0,0,1199,617
62,9,8881,0,6985,25674,624,0
62,10,10085,0,5635,32530,851,0
62,11,15083,4269,2676,32681,0,813
62,12,12059,10178,0,33944,0,0
63,1,20841,13156,0,15025,733,0
63,2,23175,8203,9044,0,969,645
63,3,20534,16800,277,16735,759,573
63,4,18769,0,8419,22290,1137,569
63,5,27137,0,6154,26595,783,0
64,1,7520,12939,4304,13490,366,0
64,2,17580,17972,4647,18910,0,0
64,3,32526,0,5998,18670,358,0
64,4,21968,0,19417,14806,0,0
64,5,24210,18667,4198,19308,477,671
64,6,21650,20054,0,18610,844,0
65,1,17564,0,3047,0,533,656
65,2,17055,15121,3184,22436,0,735
66,1,12184,10048,2092,0,374,700
66,2,0,14257,0,38323,618,1258
66,3,15603,11367,0,25363,612,935
66,4,17963,11454,3183,33159,0,960
67,1,22312,10513,2787,6081,223,0
67,2,23049,11063,3287,0,416,0
67,3,18560,13260,1760,10567,252,420
67,4,14297,22107,3936,22625,344,645
67,5,12043,22993,3529,27897,446,767
67,6,10076,0,8739,25275,362,1128
67,7,6912,4734,0,23071,414,707
67,8,6171,14006,11549,26313,306,663
67,9,9680,18206,5512,25199,0,678
68,1,8727,14945,6547,16833,341,174
68,2,9391,19785,5012,22049,280,477
68,3,7904,13980,7521,21790,234,1232
68,4,12106,0,21166,30294,582,0
68,5,13651,17749,0,14096,287,544
68,6,13721,0,85,23246,503,1377
69,1,1165,15275,3005,9361,355,413
69,2,28567,14455,4456,8228,430,456
69,3,28424,11557,4965,7938,401,486
69,4,502,18744,6268,10818,329,655
69,5,17701,21402,9321,16962,410,0
69,6,38504,0,7190,11057,636,0
69,7,20063,11799,0,9280,526,411
69,8,17548,16338,15941,0,630,876
69,9,0,9935,17554,24466,464,0
69,10,17412,23964,1296,22942,551,788
69,11,17739,18564,6708,25371,0,0
69,12,18039,17333,8341,0,576,732
69,13,16977,14933,105,22417,523,610
69,14,0,6996,2059,12637,815,437
70,1,10362,18093,0,29459,816,0
70,2,13632,0,6600,30315,1018,579
71,1,14017,15546,0,17602,429,836
71,2,9124,0,17511,19738,677,0
71,3,10375,0,5384,23130,730,783
71,4,16403,0,12222,24275,1115,0
71,5,13130,11699,10871,19807,0,0
72,1,12258,0,4459,16465,710,0
72,2,20700,0,11962,0,776,0
72,3,0,16209,2819,23637,885,1689
72,4,13600,13565,2316,20584,596,0
72,5,0,17898,0,21870,899,1285
73,1,17504,23381,0,23992,451,191
73,2,11591,0,0,17762,349,929
73,3,0,0,21605,19023,719,0
73,4,20164,0,2,16698,630,1037
74,1,17980,28079,0,24500,675,937
74,2,19215,23783,5396,20583,139,872
74,3,14630,0,19726,0,656,0
74,4,15331,2265,20865,16159,0,0
74,5,15985,0,4800,21822,484,963
74,6,12039,0,3135,19639,614,0
75,1,0,28646,6352,6303,231,991
75,2,19417,24826,5021,6206,0,778
75,3,24966,218,4199,4709,383,486
75,4,9558,0,14048,8227,105,1135
75,5,33193,18523,2459,4186,272,534
75,6,1658,14807,2317,4301,509,626
75,7,31506,661,3010,4815,289,655
75,8,30923,18545,0,7084,493,688
75,9,26585,12228,4054,5733,647,611
75,10,1324,13027,2965,5670,318,634
75,11,24910,19682,3888,5632,223,749
75,12,17163,22594,7297,8111,156,0
75,13,21533,21698,3419,7818,226,832
75,14,7693,26765,0,9702,123,1177
75,15,35722,11525,1968,0,403,559
75,16,33425,10441,2291,4829,409,506
75,17,26816,7756,1619,3666,399,414
75,18,27852,17706,2184,0,222,527
76,1,20151,12578,0,8567,725,465
76,2,16753,18996,7429,23135,0,1309
76,3,21000,5951,2757,12194,0,566
76,4,17335,13120,0,0,1152,736
76,5,0,14259,0,26406,963,880
76,6,0,0,12916,32235,861,1009
76,7,17503,0,1489,16221,610,1094
76,8,16205,8040,0,11855,504,0
76,9,11846,20920,0,0,1122,1582
76,10,13254,19420,6089,34431,1033,890
77,1,14935,12816,298,14542,0,797
77,2,14867,18171,0,18887,419,999
77,3,14267,0,15914,0,896,0
77,4,11986,0,16060,27317,0,907
77,5,13985,17923,0,23820,1011,0
77,6,15548,0,0,20994,1167,0
77,7,18557,15828,3,20179,587,678
77,8,0,20622,0,17465,822,870
77,9,16521,12023,3834,19781,426,622
77,10,0,7445,8429,11625,688,596
77,11,21643,0,11902,0,868,132
78,1,17073,0,9783,11686,523,868
78,2,16893,22500,0,14013,486,893
78,3,14236,0,10211,13725,283,998
78,4,15787,0,5383,11599,489,835
78,5,14684,24246,12241,0,0,1826
78,6,15915,20212,4112,10781,342,1293
78,7,18810,15903,4142,13987,375,516
78,8,20416,6436,2592,14076,526,8
78,9,20300,13340,5563,0,601,802
78,10,16059,24627,0,18795,421,894
78,11,20395,0,13752,0,507,1066
78,12,15702,20610,0,12585,537,743
79,1,0,25247,0,15447,698,773
79,2,0,10536,6107,22500,607,760
79,3,10533,17310,0,19585,665,0
80,1,17850,11933,0,21413,653,0
80,2,15217,17711,3450,14142,0,454
80,3,8385,0,15449,27277,589,587
80,4,9789,10631,0,28559,820,0
80,5,6877,0,4280,29281,1000,672
81,1,16673,17352,0,23237,567,769
81,2,24048,16501,4082,28850,512,989
81,3,0,20870,0,31748,767,95
82,1,23271,10230,0,0,1178,0
82,2,0,20287,0,32578,791,0
83,1,10182,14270,0,0,610,1197
83,2,14113,0,0,30551,493,1506
83,3,13294,14057,6117,32343,259,1369
83,4,2697,18994,0,40631,677,0
83,5,10508,14890,0,34496,342,1429
83,6,14683,0,20978,0,726,1508
83,7,14154,14437,0,32748,381,958
83,8,14420,11368,6639,38433,915,0
84,1,19384,7264,0,15598,361,594
84,2,14421,11260,4008,26667,0,999
84,3,10895,8947,3284,28153,0,662
84,4,11887,0,4578,30192,556,2125
84,5,15329,11454,3512,0,0,734
85,1,0,33743,0,26105,942,1436
85,2,0,30262,0,28538,1081,0
85,3,15466,32889,8221,33545,817,1428
85,4,13164,13192,28086,16345,0,0
85,5,11321,19606,2633,21309,659,0
86,1,22631,15875,0,0,599,0
86,2,21977,18855,1658,0,413,0
86,3,13437,0,0,19887,688,0
86,4,9901,16339,0,19268,691,0
87,1,21271,15544,0,18904,0,1066
87,2,0,16937,0,25539,1290,0
87,3,19494,14768,0,0,797,1044
88,1,0,0,21200,18886,737,0
88,2,7322,15517,1202,0,486,0
88,3,7283,0,20652,14287,0,0
88,4,6851,519,0,20529,674,538
89,1,12851,8871,7303,20486,0,542
89,2,10216,13837,0,0,608,1515
89,3,14530,0,2271,28735,891,568
90,1,7233,3608,7679,12719,0,350
90,2,8799,4794,5422,11887,497,0
91,1,19514,0,0,9264,565,0
91,2,3143,13490,2054,24608,517,1045
91,3,20874,20189,0,22290,0,925
91,4,21010,23108,0,21144,790,1177
91,5,20385,16362,0,7692,317,627
91,6,15579,0,8119,11650,280,1075
91,7,19012,14000,694,11676,0,0
91,8,18669,218,13532,0,0,16288
91,9,19288,13908,0,15449,831,0
91,10,17558,7137,2277,9784,317,373
92,1,26225,5486,1752,5464,586,346
92,2,20683,2069,21760,6817,0,637
92,3,0,0,31109,8478,364,992
92,4,28019,15899,0,0,816,758
92,5,0,17482,7826,7869,343,571
92,6,10857,22652,0,9512,352,1776
92,7,16382,34053,0,12057,431,0
92,8,16360,20274,4959,7979,196,626
92,9,10024,22052,7200,6528,0,840
92,10,20834,25675,2972,7732,315,766
92,11,26178,16075,0,0,442,491
92,12,28263,0,26790,11710,0,736
92,13,24798,25721,3613,9629,385,770
93,1,28176,6185,1826,0,765,0
93,2,22389,2282,0,3628,1619,0
93,3,20648,8231,6827,10539,452,0
93,4,24327,2429,1998,5839,25,0
93,5,20928,0,9006,6382,0,0
93,6,25777,0,5014,0,996,0
93,7,41542,5976,713,5254,509,0
93,8,19193,0,9194,9291,536,86
93,9,0,7119,2073,7156,1088,0
93,10,21282,3321,7129,7409,0,381
93,11,22209,3702,1658,6694,388,0
93,12,17566,4893,5016,10140,776,546
94,1,19974,11232,16916,11100,567,682
94,2,23730,6559,2103,7153,291,514
94,3,19290,11741,0,12491,651,965
94,4,16798,16107,1835,13474,0,1218
94,5,22657,24312,0,12401,563,0
94,6,979,22464,2325,8347,466,1099
94,7,18736,0,14869,0,623,588
94,8,0,0,24722,9085,546,1009
94,9,20278,0,1353,6083,537,435
94,10,27324,7977,0,6408,703,469
94,11,24447,8494,2671,6093,319,452
95,1,17230,14244,3468,18823,826,755
95,2,17221,13044,3214,15544,456,535
95,3,24032,15013,4816,17608,475,0
95,4,19630,14084,3003,0,485,0
95,5,23863,5389,3582,0,747,0
95,6,18603,1337,3737,10911,370,683
95,7,16797,10241,3891,12065,0,699
95,8,17386,0,5254,5840,404,503
95,9,17157,6149,4789,12872,621,381
95,10,18306,8129,5356,9667,7,488
971,1,18640,0,197,2252,0,77
971,2,12682,698,2291,4563,0,0
971,3,18414,601,0,7635,545,0
971,4,0,4763,0,2570,1396,221
972,1,599,0,584,2312,665,0
972,2,1626,0,8620,0,0,0
972,3,11115,0,361,1684,363,0
972,4,2137,0,2316,2408,0,0
973,1,264,0,3308,1916,0,0
973,2,594,4626,0,0,0,0
974,1,2126,0,6369,11451,450,1693
974,2,19068,0,3415,0,617,1449
974,3,12197,0,13925,0,540,2312
974,4,22696,0,14765,14797,1189,0
974,5,17736,3655,0,10456,989,300
974,6,19901,581,1688,9790,475,250
974,7,17502,11083,3754,12853,724,1012
975,1,1273,0,0,291,0,0
976,1,0,0,16153,0,0,325
976,2,552,7030,6595,7933,0,0
986,1,0,5309,1248,0,0,0
987,1,1404,0,18456,2168,0,0
987,2,1047,0,19,1240,0,0
987,3,1507,0,12006,0,0,0
988,1,2966,0,22489,2562,0,158
988,2,0,3946,27038,0,0,0
ZX,1,0,2867,1170,0,0,680
ZZ,1,33889,4643,6270,10018,0,1357
ZZ,2,6952,6440,1905,2553,0,373
ZZ,3,1056,31426,3678,4504,0,752
ZZ,4,29461,26410,6096,6736,0,1001
ZZ,5,13781,16718,2069,8385,0,1102
ZZ,6,20516,27700,4172,0,0,949
ZZ,7,22125,3861,2702,4520,0,720
ZZ,8,7516,8880,13083,0,0,2044
ZZ,9,21128,7429,2464,3817,0,364
ZZ,10,11658,13055,3488,6147,0,842
ZZ,11,14039,16770,0,6424,0,3834
