Code du département,Code de la circonscription,GAUCHE,MACRON,DROITE,RN,EXG,EXD
1,1,11143,8071,10599,8971,0,2636
1,2,13081,12916,7810,11354,0,3045
1,3,10281,10775,6425,4993,0,2378
1,4,8916,13743,7641,11116,0,3068
1,5,8766,0,16545,7110,0,2509
2,1,6463,7939,5905,11245,0,1882
2,2,6262,3755,11704,9331,0,938
2,3,13518,0,3584,9518,0,2079
2,4,7461,7632,4300,11973,0,1499
2,5,8157,12307,1873,13572,0,2114
3,1,17820,8634,6412,8615,0,2326
3,2,13964,10762,4468,7642,0,1997
3,3,8438,10874,9594,8047,0,2174
4,1,11188,7008,544,8910,0,2477
4,2,11619,10232,1288,7905,334,1992
5,1,10015,7543,3803,6552,0,1693
5,2,9747,10889,1549,4996,0,1266
6,1,9493,9215,11271,4729,0,570
6,2,9588,9547,7468,9639,0,3753
6,3,10946,11136,4973,6668,0,4767
6,4,7984,8464,5494,10925,0,4716
6,5,8898,10400,8943,7560,0,3512
6,6,6954,9028,7450,9349,0,3981
6,7,10292,10814,12168,7675,0,3996
6,8,5940,7080,12144,6766,163,4101
6,9,7233,7350,10605,7518,0,3379
7,1,15738,6757,4081,9202,446,2098
7,2,11785,15014,9582,9512,0,2544
7,3,18369,5913,11217,6964,0,1840
8,1,6887,7981,6338,8835,0,1782
8,2,5218,3309,10685,5485,0,946
8,3,3978,2235,12332,5758,0,1233
9,1,16408,6237,0,6229,0,1606
9,2,17750,4237,783,6686,0,1271
10,1,4558,7939,5093,11406,0,1106
10,2,6684,6676,10425,9990,0,2219
10,3,7797,6790,4507,8958,0,1835
11,1,15722,10636,2501,15871,0,2914
11,2,11178,13056,3706,12365,0,2439
11,3,14536,15007,1573,13838,498,3054
12,1,9354,17580,6841,5391,0,1897
12,2,11262,12403,7207,4865,0,1961
12,3,11464,9741,9727,6017,0,1300
13,1,9445,8487,2667,9103,0,3350
13,2,12137,12026,5262,6561,0,3916
13,3,8608,6358,995,7016,0,4215
13,4,15087,4117,1176,2396,269,910
13,5,15093,8678,1488,5131,228,2556
13,6,9263,9978,2744,7810,0,2696
13,7,8319,2879,294,4226,120,897
13,8,11243,13166,7074,12004,0,3317
13,9,11948,9686,8328,11256,126,3367
13,10,13523,11780,7016,15165,0,4071
13,11,11641,11732,4399,9679,0,3579
13,12,9841,0,11429,13921,0,2889
13,13,16476,6180,1205,12430,0,2638
13,14,14967,14462,5741,7961,0,3806
13,15,12781,11458,7456,15269,0,4003
13,16,12507,9970,0,12324,452,4186
14,1,15037,11507,5275,4048,0,1664
14,2,14668,8951,2449,5091,268,1496
14,3,8778,8531,8311,9229,706,1991
14,4,12989,19382,6583,9849,0,3009
14,5,14158,13514,8734,9240,0,2460
14,6,13833,17214,3473,10447,0,2537
15,1,6104,7338,14387,3695,0,1013
15,2,4541,4848,13439,3861,0,796
16,1,17454,12336,2122,6503,0,1731
16,2,11713,11568,4920,9245,0,2293
16,3,18237,9606,1914,10475,252,1837
17,1,33541,13665,128,5253,0,2114
17,2,17862,15246,6680,11049,500,2474
17,3,14648,12033,2826,9192,239,2187
17,4,9741,13295,7763,11900,0,2750
17,5,14237,15751,10519,15404,0,3256
18,1,8370,11113,4669,7591,0,2231
18,2,10896,7193,3912,7317,0,1471
18,3,9693,13299,3171,11226,0,2641
19,1,19467,10095,10772,7905,183,1603
19,2,14922,10562,11262,8490,0,2068
2A,1,2363,10165,0,3003,0,912
2A,2,3232,0,7084,3787,0,1576
2B,1,3595,6296,0,2996,0,1454
2B,2,1879,0,9267,3658,0,391
21,1,12517,11783,5907,4558,256,2173
21,2,10116,9347,5169,7151,0,2192
21,3,12631,8701,2853,7704,0,1716
21,4,6980,8409,11031,7733,0,2095
21,5,9729,11326,8544,10005,130,2075
22,1,18465,15319,4244,5904,504,1683
22,2,16145,20946,5807,9340,500,2612
22,3,11361,9049,20203,5693,0,1223
22,4,19262,11296,2964,7027,0,1189
22,5,23895,18543,4038,7999,289,2505
23,1,13685,12368,10812,8118,0,1968
24,1,15567,9467,5315,8209,0,1572
24,2,16219,9591,3946,10338,0,2956
24,3,13047,11087,2896,8477,0,1358
24,4,20473,9958,6102,8624,0,2243
25,1,12535,11343,4070,6597,414,1608
25,2,13112,12647,4354,7055,0,2164
25,3,6202,6919,7385,7819,0,1547
25,4,6449,8391,3098,8738,0,1483
25,5,7516,7825,16893,5869,0,1577
26,1,11763,9053,6996,5638,0,2151
26,2,11980,10725,5561,11585,0,3107
26,3,24416,14782,9986,10001,0,3072
26,4,15014,7791,12579,9801,0,2933
27,1,10564,10583,3219,11830,0,2861
27,2,10187,9994,4505,11508,271,1988
27,3,8798,9848,7718,13473,0,1410
27,4,13871,11440,3104,12598,0,1873
27,5,11167,11912,3496,12555,0,3291
28,1,11127,13838,7598,8270,0,2790
28,2,7338,5271,9124,7880,593,1328
28,3,8096,9834,2934,8086,274,1673
28,4,6227,14050,2468,8072,0,1679
29,1,15760,17432,5881,5339,0,2412
29,2,16722,13056,1356,3815,143,1755
29,3,14951,19442,2997,5989,0,2282
29,4,14357,16203,5078,5181,0,1528
29,5,15157,15555,8484,6591,0,1329
29,6,15367,16526,5218,7146,0,1387
29,7,14256,14001,5416,5589,0,1292
29,8,15712,16270,3104,7522,0,2333
30,1,9924,9200,2458,11546,0,2269
30,2,10842,10050,3802,15434,0,2778
30,3,11127,13800,3087,13796,0,3043
30,4,13381,10501,3646,13648,0,2715
30,5,17632,10704,3834,11582,0,2584
30,6,12083,9282,3438,9018,0,3272
31,1,18093,16182,1637,4279,0,2065
31,2,25929,14807,3174,7245,0,2973
31,3,16834,15455,7587,4080,0,2281
31,4,18911,8278,3084,2512,128,1447
31,5,16048,16653,1743,12931,0,2953
31,6,24235,18437,4328,10231,0,2790
31,7,18310,13968,2798,12531,0,3195
31,8,21642,9281,1375,9843,0,2547
31,9,20008,10265,1954,5781,0,1869
