Code du département,Code de la circonscription,GAUCHE,MACRON,DROITE,RN,EXG,EXD
31,10,22039,18988,6007,8947,0,2289
32,1,11654,16708,0,8202,0,2652
32,2,17356,7888,4873,6976,257,2418
33,1,17598,19604,5342,4929,368,2866
33,2,17980,12407,2908,1970,0,1879
33,3,20488,15220,1335,4748,260,1248
33,4,18361,10431,2946,9191,429,1775
33,5,16080,17026,4957,16672,0,2905
33,6,20931,19258,3454,8222,0,2748
33,7,16191,15252,2864,4914,0,1946
33,8,14332,20943,6717,11798,0,4209
33,9,13298,17806,3925,12008,0,2943
33,10,10311,15599,0,11628,0,3175
33,11,12485,12326,1572,18662,0,1661
33,12,17685,11366,4932,9375,0,2466
34,1,12518,13376,2802,8360,192,2998
34,2,16958,7259,476,2490,0,1195
34,3,20407,12457,2603,8080,0,2568
34,4,18912,17666,5789,13633,0,3710
34,5,13758,16091,2563,13806,0,2809
34,6,8464,9137,20074,0,0,3968
34,7,16172,10031,5328,16079,366,3633
34,8,16184,10921,2162,10729,0,2822
34,9,13089,11307,2267,10058,0,2936
35,1,22196,17894,0,4679,497,1647
35,2,22272,22630,0,4598,0,2922
35,3,18148,15317,4015,6998,0,1350
35,4,17060,14035,3715,8245,483,1996
35,5,16075,18595,9067,7248,0,2191
35,6,12262,21513,1825,7618,0,1452
35,7,12081,16326,13736,6861,355,2448
35,8,25372,15950,1088,3399,83,1943
36,1,8889,10152,7364,8224,0,1544
36,2,10421,8192,12386,10544,0,2194
37,1,14880,10657,4129,3251,0,1525
37,2,13773,15187,4945,10279,0,2044
37,3,13937,12686,10448,9836,477,2018
37,4,15807,13666,4349,9043,0,1907
37,5,11729,12543,6729,9069,0,2191
38,1,18968,19543,3217,3407,0,2741
38,2,15631,10188,1732,6474,0,1452
38,3,14964,7112,2049,3424,123,975
38,4,21131,10697,3391,7618,356,2613
38,5,23130,16651,0,9909,427,3719
38,6,8928,10561,5424,12100,0,2824
38,7,11042,9155,11492,10935,0,2552
38,8,10178,9113,8213,9007,0,2301
38,9,16070,14981,6135,9626,0,2446
38,10,13711,11347,3861,11817,0,2687
39,1,9467,12247,2556,7300,0,1203
39,2,6651,5047,9269,4628,0,1305
39,3,10454,5638,9144,8264,0,1683
40,1,15709,21695,3516,11241,0,2685
40,2,19935,23944,4255,10116,0,3477
40,3,22057,16331,2849,10317,438,1780
41,1,10442,14284,3015,9073,0,1828
41,2,6703,10436,6824,9493,0,5523
41,3,8144,11275,9941,10141,0,2047
42,1,13154,7342,1288,5203,0,1400
42,2,8417,7195,1938,3454,234,1145
42,3,10142,10900,5436,7890,0,2742
42,4,13112,9199,12601,10555,0,2641
42,5,11618,12936,13031,9623,0,2856
42,6,11124,14590,14001,11527,439,2928
43,1,11648,7459,23940,7507,0,1375
43,2,9600,4764,18850,5618,0,1535
44,1,17773,13067,5212,2652,0,2352
44,2,24032,14350,4717,2520,194,2568
44,3,20602,13662,2686,4622,510,2108
44,4,23059,13908,2737,4838,461,1715
44,5,23859,26976,1284,7475,0,3173
44,6,18335,15757,6803,9324,0,2720
44,7,16771,18918,8593,9309,0,3963
44,8,19068,11341,1901,6443,0,1534
44,9,19055,23790,5452,11358,0,3025
44,10,20750,19638,10303,7011,0,2914
45,1,10989,13988,4621,5842,0,2185
45,2,12795,11978,4811,7911,0,2043
45,3,7396,7420,7791,10931,0,1235
45,4,7441,6600,6715,10986,0,1593
45,5,7248,7597,8265,9741,330,1330
45,6,11471,11851,3620,7152,0,1853
46,1,17051,692,19352,3844,0,1105
46,2,18978,9103,3347,4735,250,1224
47,1,12671,13309,2542,12515,0,3271
47,2,11069,10259,3943,12233,0,2018
47,3,9340,9576,6796,9664,208,2543
48,1,8976,5996,11034,3704,0,1137
49,1,16524,15381,4508,5483,0,1631
49,2,15590,18538,2833,5735,0,2190
49,3,7803,8244,8328,7411,0,1466
49,4,8544,14298,3428,7307,0,2374
49,5,8462,13223,6472,4588,0,1744
49,6,12596,19623,1894,7229,0,2271
49,7,13512,16333,976,6040,0,2530
50,1,8805,7421,17525,7045,0,1270
50,2,12580,20620,3860,8700,0,2162
50,3,13855,19981,7992,10274,0,2554
50,4,14163,12664,6276,7120,0,1279
51,1,8580,9120,4975,6485,0,1736
51,2,8508,11067,3565,7213,0,1995
51,3,7091,10841,3169,10215,0,2631
51,4,8244,11329,3461,9533,0,1116
51,5,5052,3268,16329,9989,0,1693
52,1,6374,7342,6126,9479,0,1424
52,2,3438,3122,8755,10928,0,1005
53,1,17684,8415,2317,4744,0,1921
53,2,8834,17072,2804,5966,0,1870
53,3,6924,19187,0,5335,0,1695
54,1,14322,13159,3174,5669,0,2264
54,2,13090,10448,3257,4427,0,1457
54,3,10842,7429,1814,7061,284,1255
54,4,9374,7170,14239,11825,401,1932
54,5,17295,5268,1735,10216,0,1864
54,6,11789,8441,3570,10501,348,1717
55,1,6898,4795,10826,10913,0,1716
55,2,7286,5760,3588,8693,0,1029
56,1,18233,21004,8923,7145,396,3733
56,2,15389,22118,6945,9054,0,3292
56,3,12503,13982,8113,8938,0,2242
56,4,12032,10624,1293,9377,0,2438
56,5,13463,9423,8785,5307,0,1890
56,6,12917,16452,2483,10213,0,2033
57,1,11998,8983,4022,9385,0,2142
57,2,11667,8005,4852,6871,0,1763
57,3,10486,11214,3550,6192,279,1772
57,4,4912,4973,17014,7853,0,1895
57,5,4216,7732,7108,7498,0,1943
57,6,5306,5122,2263,7077,0,2154
57,7,7013,7851,5671,12018,0,2576
57,8,9294,7455,1120,11167,496,1732
57,9,10059,14841,4376,8918,0,2132
58,1,9464,11287,1770,9205,0,1876
58,2,10651,10982,4444,11416,0,2593
59,1,15669,6071,1984,2960,0,782
59,2,18253,10230,3106,5328,300,1344
59,3,13377,5455,4246,11323,0,1369
59,4,14566,14658,8945,6785,0,2389
59,5,13711,12012,8562,12211,0,1785
59,6,10939,17576,7887,9614,0,2130
59,7,9161,9837,5758,5141,0,1738
59,8,9235,5358,1264,4346,0,1080
59,9,12774,13889,8897,4190,0,2409
59,10,8768,11950,1244,6709,0,1425
59,11,18097,10953,4001,7355,0,1841
59,12,7945,11055,4089,13727,0,1945
59,13,9344,11317,1390,10506,0,1056
59,14,9737,15582,4931,13032,0,2264
59,15,10189,10622,10722,12133,0,1633
59,16,12594,6212,1838,12416,0,990
59,17,8091,8297,1907,10414,475,1552
59,18,7228,4980,14225,12074,0,1329
59,19,9503,6424,1106,14758,0,813
59,20,14536,5036,525,10334,0,1011
59,21,8844,0,12860,9508,0,1479
60,1,8783,5019,12692,10780,0,1364
60,2,8094,10375,6230,14440,0,1796
60,3,9484,6415,3184,9031,0,1505
60,4,9089,14627,6090,10772,0,3549
60,5,8327,6860,7935,8362,0,2180
60,6,7969,7875,7146,10322,0,2229
60,7,9988,4845,9191,8745,0,1601
61,1,9065,7572,6231,6723,0,1792
61,2,6464,4562,10759,8067,0,1826
61,3,6090,7322,13050,6135,0,1350
62,1,10497,12396,7224,18153,0,1888
62,2,12659,13166,4004,10604,0,1935
62,3,12962,5064,806,13050,0,826
62,4,8588,13168,8782,10378,116,2444
62,5,15900,9923,1461,10691,0,1172
62,6,9354,14667,5169,13857,0,2002
62,7,8014,6485,10770,11313,518,1342
62,8,17726,9440,2740,12140,0,1593
62,9,10358,8626,4306,11596,0,2062
62,10,8214,8379,1250,18230,0,1327
62,11,9914,5388,1382,21219,0,0
62,12,11703,7701,766,16609,650,1600
63,1,15875,10465,4320,5617,376,1235
63,2,20730,9017,7999,7862,0,1658
63,3,16366,15570,7499,5759,0,2111
63,4,16285,15087,8158,8379,0,1846
63,5,26480,9156,4816,9964,0,1328
64,1,12658,11243,2709,4991,0,1836
64,2,13269,14826,0,7128,0,2887
64,3,26968,0,7342,6847,342,2115
64,4,11497,11508,0,5015,0,1526
64,5,15397,16657,0,6795,0,3343
64,6,11755,18110,5706,5209,0,2191
65,1,22199,11028,2344,7378,0,1684
65,2,11998,17425,2770,8483,0,2214
66,1,8118,7952,2415,10162,341,2282
66,2,10218,9700,4182,17812,0,3486
66,3,11091,9902,2359,11247,0,2549
66,4,15775,10799,2396,15056,0,3342
67,1,16015,9085,1479,2061,68,1111
67,2,14623,11363,2211,3977,0,916
67,3,11750,11123,1758,4309,0,1191
67,4,9836,14554,6838,7931,0,2187
67,5,9813,15550,5581,10052,0,1468
67,6,9213,11267,9069,10065,0,2044
67,7,6135,5206,13445,8183,0,1152
67,8,5279,9849,8807,10527,0,1834
67,9,6030,11748,8695,9043,0,2118
68,1,5654,12622,7014,5866,0,2012
68,2,9067,12272,8907,7893,0,2145
68,3,7325,9509,6894,7838,0,1905
68,4,9587,8584,9874,11622,0,2257
68,5,8609,12801,1717,5122,0,1879
68,6,9248,13746,198,9415,0,2320
69,1,14654,14252,3855,3617,0,1529
69,2,18700,12562,4077,2392,86,2438
69,3,19988,12821,3483,3039,149,1872
69,4,15449,15566,7530,3300,0,2989
69,5,12505,17507,8449,5864,0,3058
69,6,17755,13935,700,4328,347,1774
69,7,10745,5039,6675,3169,0,1073
69,8,13970,15714,11965,8713,0,3783
69,9,10781,10284,12885,8500,0,2979
69,10,13734,18630,8893,0,0,9897
69,11,12190,14112,7076,9271,0,2744
69,12,11499,14754,9647,4611,0,2716
69,13,10412,11511,6273,8764,0,2712
69,14,10643,7305,0,5846,0,1904
70,1,9189,10155,8943,13441,0,2695
70,2,9854,11353,5447,14573,0,2053
71,1,9965,13041,3238,6909,0,2582
71,2,7627,6188,14031,7179,0,1912
71,3,9845,12500,4119,10077,0,2204
71,4,13144,7893,4952,9733,0,2166
71,5,10244,11639,8516,7682,371,1533
72,1,11325,8517,6424,6150,0,1634
72,2,15864,6517,2985,7261,493,1467
72,3,10555,10071,4439,10570,0,2175
72,4,13882,6876,4261,7672,0,1685
72,5,12215,13267,1619,8944,0,2538
73,1,11478,12700,8167,9247,0,2342
73,2,9146,5470,10876,6870,0,1507
73,3,10394,6095,12788,7561,0,1446
73,4,13548,10306,3995,6354,0,2810
74,1,13417,19000,6830,8472,0,2844
74,2,14091,11329,11566,6345,0,2746
74,3,10412,9087,9129,7296,0,1513
74,4,9660,7678,11501,4455,100,2161
74,5,12087,12323,8000,7070,0,2812
74,6,10103,11670,3712,6853,0,2161
75,1,13353,19718,8703,1357,0,3004
75,2,12572,15547,7948,1294,102,2827
75,3,17773,12853,5204,1658,124,1422
75,4,6337,15914,11174,1412,0,3252
75,5,22483,15578,3409,1277,0,1519
75,6,27738,11515,1767,1507,153,1314
75,7,22720,17902,2370,1503,0,1777
75,8,22665,13426,5282,2165,0,2456
75,9,19513,10192,3461,1898,123,2068
75,10,17979,11707,3514,2075,203,1602
75,11,17036,16154,5283,1520,368,2253
75,12,10464,17380,10094,1804,0,3905
75,13,14294,16639,5990,2119,0,3483
75,14,5184,16147,13527,1435,0,4211
75,15,27875,7656,2517,1597,338,1387
75,16,23547,7824,2153,1454,186,1092
75,17,17507,6409,1297,1241,0,1076
75,18,19185,13922,2268,1318,0,1248
76,1,15745,9424,2886,3094,235,1372
76,2,13105,16553,6591,9733,0,2751
76,3,17545,5026,1115,5251,0,1141
76,4,18439,7004,1,10105,0,1614
76,5,16538,11834,2266,12867,0,1468
76,6,22906,11274,3672,15325,0,1590
76,7,13199,15505,1648,6064,167,2618
76,8,12780,6120,0,4636,0,1226
76,9,12026,15871,2372,13591,0,1888
76,10,12935,17045,3981,16399,0,2827
77,1,10214,8292,3487,5792,273,1980
77,2,11638,10981,5754,7345,334,3089
77,3,10824,5290,8409,7988,279,2070
77,4,9357,6953,9091,12742,374,2519
77,5,11621,11225,3123,9745,0,2299
77,6,10908,5976,4943,9044,0,2295
77,7,12379,8823,3607,8923,0,2437
77,8,14821,12301,3287,6610,0,2686
77,9,11672,9112,4259,8004,253,2189
77,10,13900,8612,3882,4412,0,1707
77,11,12834,5768,1256,4589,0,1388
78,1,12035,15198,8505,3332,235,6352
78,2,14474,18659,7262,4215,0,4734
78,3,10800,18012,6846,4050,0,5371
78,4,11887,18308,5706,3739,0,2826
78,5,10582,14483,8436,3079,0,2709
78,6,10212,14378,6747,2993,0,3217
78,7,12820,11401,5723,5195,0,2256
78,8,10570,7336,2365,6729,299,1458
78,9,11695,11275,5968,9613,407,2331
78,10,14183,16727,8571,6482,433,3529
78,11,11918,8289,5913,3500,0,2048
78,12,12018,14028,2700,4393,0,2100
79,1,14456,21625,1704,5869,0,1345
79,2,20969,12049,3048,9328,0,2137
79,3,8810,13507,6126,7689,0,1353
80,1,15839,8862,2636,8495,0,1357
80,2,11728,10895,5978,5780,445,1337
80,3,8121,7790,11240,13091,0,1461
80,4,8806,10497,6066,13575,0,2099
80,5,8540,7806,7212,13501,0,1562
81,1,14790,8600,9710,8999,0,2126
81,2,21365,16487,0,13775,0,3200
81,3,12850,16717,9533,12267,0,2252
82,1,19537,8196,4378,10610,277,2759
82,2,9272,19976,0,15186,0,2463
83,1,8063,10222,2190,8097,0,3901
83,2,9269,11203,2566,12595,0,4236
83,3,10443,13877,6296,13503,0,4819
83,4,9378,14735,2454,12784,0,11983
83,5,7416,12355,2894,16350,0,5973
83,6,13403,13988,3619,19832,0,5250
83,7,9232,12901,5145,13185,0,5049
83,8,12091,12876,2735,15474,0,5471
84,1,10170,6985,2111,9160,249,1428
84,2,10873,9998,4097,10662,0,4865
84,3,8709,7985,2418,13430,154,2779
84,4,9562,10381,3152,16850,0,0
84,5,11270,10244,7044,9635,0,2497
85,1,15246,16624,10181,8791,0,2767
85,2,15360,16529,10273,9665,0,2844
85,3,14430,23870,11615,14154,0,1355
85,4,11733,10531,19869,5218,0,630
85,5,8675,15353,5238,8618,744,2430
86,1,14556,11226,5324,6254,0,1769
86,2,14881,17297,0,5641,0,3486
86,3,12826,7637,6208,7697,0,2030
86,4,8557,12919,0,9739,0,2112
87,1,14675,11907,4521,7884,0,1756
87,2,19932,14037,3962,10244,0,1920
87,3,13079,12238,4949,8117,0,1695
88,1,7329,5439,13276,7316,209,1637
88,2,7180,10235,4705,9762,353,1573
88,3,5669,3758,15136,5805,0,1168
88,4,11563,4490,7028,8530,0,769
89,1,9978,7509,8709,9214,361,2384
89,2,9334,10402,2062,10936,0,2346
89,3,10150,10127,4588,14897,262,2063
90,1,5226,4671,6393,4868,0,1254
90,2,5943,4134,6171,4307,0,1508
91,1,12252,6139,2701,3990,220,1044
91,2,12319,8848,8891,9839,0,2625
91,3,17953,12447,5112,8612,0,2899
91,4,14999,16787,5044,7818,0,2674
91,5,15099,11849,6539,2774,0,2033
91,6,17123,12915,3944,4361,0,2180
91,7,13075,10480,2038,4537,0,1769
91,8,10799,7929,3551,0,0,11804
91,9,12289,10520,3303,5602,0,2918
91,10,11115,6779,2558,3994,0,948
92,1,14419,4913,1147,2128,388,764
92,2,12006,11723,10537,1660,251,1639
92,3,11108,14515,13949,2348,209,2269
92,4,16298,13472,0,3337,329,1925
92,5,12374,12877,7183,2029,210,2198
92,6,7331,20501,6467,3056,0,3749
92,7,10803,20120,8694,3054,0,3803
92,8,11908,15547,6073,2082,0,2735
92,9,7466,10307,13085,1507,120,2538
92,10,15442,20679,0,2992,172,3055
92,11,17239,13132,0,2817,626,1769
92,12,17304,15423,9527,3927,0,2892
92,13,14835,18406,10704,2929,0,2592
93,1,16804,5016,639,1829,276,636
93,2,12494,2214,622,1480,297,375
93,3,14133,8399,2777,3840,116,1811
93,4,12191,2007,975,2290,82,625
93,5,9838,2262,7745,2235,178,545
93,6,14045,3746,1172,1584,537,560
93,7,25480,6454,799,1735,229,872
93,8,11345,5696,3647,3610,161,1568
93,9,18901,6214,1433,2491,200,959
93,10,10263,4979,4959,2951,254,771
93,11,12795,2957,930,2672,109,549
93,12,8353,5793,3512,3743,228,1389
94,1,15595,12291,8183,3835,0,2445
94,2,12892,6828,1713,2792,245,894
94,3,10147,7804,4993,4221,424,1882
94,4,10992,10334,5760,4679,0,2363
94,5,14328,12544,8564,3537,234,2704
94,6,18538,16716,2791,2432,269,2771
94,7,11890,7153,5514,2856,0,1125
94,8,13580,7964,15767,2240,156,2118
94,9,12519,4453,927,2297,130,796
94,10,17347,6113,1407,2817,0,1100
94,11,17137,7666,1142,2514,333,1149
95,1,13877,9472,4760,8377,0,2937
95,2,12149,10252,3092,6439,128,2544
95,3,15265,12284,5282,6989,0,2982
95,4,13800,10397,4479,4659,155,2021
95,5,12260,5264,2447,2921,0,822
95,6,12814,10365,4125,3994,0,1961
95,7,11477,7846,2193,4253,291,2318
95,8,8677,4263,1499,1998,0,574
95,9,9495,6100,3335,5309,0,1300
95,10,13463,7364,1656,3993,133,1060
ZA,1,16208,0,51,1237,0,0
ZA,2,9266,6468,353,2497,0,410
ZA,3,11342,3314,286,4164,389,2
ZA,4,9454,3339,304,0,0,1157
ZB,1,10402,0,752,564,78,98
ZB,2,6190,0,318,598,117,123
ZB,3,7431,420,195,413,0,180
ZB,4,4071,363,678,415,0,102
ZC,1,3525,344,4077,817,0,0
ZC,2,2994,5057,0,425,0,149
ZD,1,10932,3563,4287,3015,280,410
ZD,2,11153,0,3230,1926,231,1001
ZD,3,10109,3281,11255,3990,0,348
ZD,4,17134,1326,11868,3850,0,927
ZD,5,14018,4622,3754,2314,0,267
ZD,6,10447,3634,1801,1997,4291,268
ZD,7,14146,11195,2055,2656,0,636
ZM,1,2596,2388,3576,0,0,0
ZM,2,282,11952,7229,567,0,0
ZN,1,0,13443,6918,1941,0,686
ZN,2,0,14566,8758,1600,0,428
ZP,1,533,12970,7434,0,0,0
ZP,2,355,8660,7848,562,0,123
ZP,3,0,9128,8127,0,0,0
ZS,1,782,0,856,0,0,0
ZW,1,922,5457,0,0,0,0
ZX,1,0,2383,1728,0,0,447
ZZ,1,17475,18236,10777,1013,0,3118
ZZ,2,3945,4360,1359,240,0,700
ZZ,3,14944,19861,2302,698,0,1474
ZZ,4,1021,18841,2510,1402,0,2148
ZZ,5,1595,10147,1775,999,0,2327
ZZ,6,2353,15221,4881,1297,0,2210
ZZ,7,4651,14452,2889,460,0,1333
ZZ,8,3278,4607,4572,296,0,1095
ZZ,9,386,6914,1700,257,0,1050
ZZ,10,513,9057,2235,420,0,1860
ZZ,11,1849,13165,1760,742,0,3267
