Code du département,Code de la circonscription,GAUCHE,MACRON,DROITE,RN,EXG,EXD
1,1,8779,13534,10693,6174,0,0
1,2,8446,16371,11182,7553,0,1149
1,3,6518,15405,7281,3808,0,0
1,4,5165,17517,10342,7964,0,860
1,5,6651,9149,12743,5599,158,637
2,1,8641,10043,5653,9114,0,491
2,2,7535,0,12099,8349,0,607
2,3,11288,5755,4841,8113,0,1242
2,4,8780,9683,6969,8010,0,327
2,5,6365,14206,6578,10111,0,764
3,1,16643,13267,9248,4706,0,896
3,2,14346,10827,10081,4145,0,914
3,3,5293,19088,7784,5226,0,1085
4,1,8338,11501,3520,5502,0,1299
4,2,7663,14957,5426,4611,0,534
5,1,8493,9258,4631,3938,0,0
5,2,5581,12566,6712,3034,0,0
6,1,6720,12599,13827,4865,0,300
6,2,6998,14364,8737,9166,0,771
6,3,6804,12727,9721,8476,0,739
6,4,6564,11045,8075,9139,0,1319
6,5,6868,0,13221,8948,0,868
6,6,4821,12047,10010,7526,0,920
6,7,7197,14225,14808,6718,0,964
6,8,5132,11199,11333,7363,0,530
6,9,5593,12869,10912,6815,0,623
7,1,16126,9203,5972,5876,0,666
7,2,18747,12718,9878,6026,0,1116
7,3,16706,10748,9004,5064,0,761
8,1,5223,8004,13053,7278,0,0
8,2,8589,6269,7212,5424,0,0
8,3,5813,4063,12931,4917,0,0
9,1,12838,9478,1616,3618,0,0
9,2,13522,8161,4963,4437,0,259
10,1,4286,9730,8702,8109,0,0
10,2,5433,11251,11357,8041,0,0
10,3,6035,10180,7373,6697,0,589
11,1,16710,13486,5311,11199,0,882
11,2,13631,11729,7147,8492,0,1222
11,3,19399,14223,5212,9053,305,0
12,1,9964,19962,9923,3232,0,0
12,2,12795,15563,8110,3212,0,0
12,3,8271,13122,14525,3476,0,465
13,1,7228,10257,8579,6834,0,615
13,2,8824,14372,9933,5012,0,787
13,3,7890,7284,3778,9024,0,757
13,4,12488,5587,2621,2692,0,258
13,5,9911,10068,7537,4764,67,366
13,6,6592,11307,8713,6171,0,569
13,7,9800,4125,1121,4789,95,362
13,8,9711,16174,7220,11041,0,997
13,9,9566,13882,10558,8153,0,795
13,10,10841,16122,9236,10862,0,1209
13,11,9605,14495,8070,7413,0,586
13,12,8678,9428,9819,8706,0,2405
13,13,15236,10159,4911,10073,0,942
13,14,11595,18149,9075,6119,0,866
13,15,9380,15941,13488,11068,0,838
13,16,10190,11351,5734,11951,0,646
14,1,12445,14196,6310,2752,238,386
14,2,14204,11522,3335,3351,81,386
14,3,11258,11602,8123,6702,0,621
14,4,10843,20338,12186,5884,0,1125
14,5,10152,18388,10926,5991,0,664
14,6,8147,18784,11466,6262,0,976
15,1,6328,12411,12595,2191,0,0
